sample	strainID	count	count_correct	f	f_correct
ANC_p1_1A	HAMBI_2792	18	14	0.0058233581365254	0.00452927855063086
ANC_p1_1A	HAMBI_3031	129	64	0.0417340666450987	0.0207052733743125
ANC_p1_1A	HAMBI_3237	2	12	0.000647039792947266	0.0038822387576836
EVO_p8_3C	HAMBI_0006	42	8	0.0270793036750484	0.00515463917525773
EVO_p8_3C	HAMBI_0097	0	0	0	0
EVO_p8_3C	HAMBI_0105	0	0	0	0
EVO_p8_3C	HAMBI_0262	0	0	0	0
EVO_p8_3C	HAMBI_0403	3	2	0.00193423597678917	0.00128865979381443
EVO_p8_3C	HAMBI_1279	1	1	0.000644745325596389	0.000644329896907216
EVO_p8_3C	HAMBI_1287	2	7	0.00128949065119278	0.00451030927835052
EVO_p8_3C	HAMBI_1292	5	16	0.00322372662798195	0.0103092783505155
EVO_p8_3C	HAMBI_1299	0	0	0	0
EVO_p8_3C	HAMBI_1842	0	0	0	0
EVO_p8_3C	HAMBI_1896	22	26	0.0141843971631206	0.0167525773195876
EVO_p8_3C	HAMBI_1972	1432	1453	0.92327530625403	0.936211340206186
EVO_p8_3C	HAMBI_1977	2	2	0.00128949065119278	0.00128865979381443
EVO_p8_3C	HAMBI_1988	0	0	0	0
EVO_p8_3C	HAMBI_2159	25	28	0.0161186331399097	0.0180412371134021
EVO_p8_3C	HAMBI_2160	1	1	0.000644745325596389	0.000644329896907216
EVO_p8_3C	HAMBI_2164	8	6	0.00515796260477112	0.0038659793814433
EVO_p8_3C	HAMBI_2443	0	0	0	0
EVO_p8_3C	HAMBI_2494	1	1	0.000644745325596389	0.000644329896907216
EVO_p8_3C	HAMBI_2659	7	1	0.00451321727917473	0.000644329896907216
EVO_p8_3C	HAMBI_2792	0	0	0	0
EVO_p8_3C	HAMBI_3031	0	0	0	0
EVO_p8_3C	HAMBI_3237	0	0	0	0
ANC_p4_1G	HAMBI_0006	2	0	0.000788022064617809	0
ANC_p4_1G	HAMBI_0097	2	2	0.000788022064617809	0.000788022064617809
ANC_p4_1G	HAMBI_0105	0	0	0	0
ANC_p4_1G	HAMBI_0262	0	0	0	0
ANC_p4_1G	HAMBI_0403	1	1	0.000394011032308905	0.000394011032308905
ANC_p4_1G	HAMBI_1279	0	0	0	0
ANC_p4_1G	HAMBI_1287	0	0	0	0
ANC_p4_1G	HAMBI_1292	0	0	0	0
ANC_p4_1G	HAMBI_1299	0	0	0	0
ANC_p4_1G	HAMBI_1842	0	0	0	0
ANC_p4_1G	HAMBI_1896	0	0	0	0
ANC_p4_1G	HAMBI_1972	66	80	0.0260047281323877	0.0315208825847124
ANC_p4_1G	HAMBI_1977	2206	2121	0.869188337273444	0.835697399527187
ANC_p4_1G	HAMBI_1988	1	1	0.000394011032308905	0.000394011032308905
ANC_p4_1G	HAMBI_2159	241	319	0.094956658786446	0.125689519306541
ANC_p4_1G	HAMBI_2160	9	9	0.00354609929078014	0.00354609929078014
ANC_p4_1G	HAMBI_2164	3	3	0.00118203309692671	0.00118203309692671
ANC_p4_1G	HAMBI_2443	0	0	0	0
ANC_p4_1G	HAMBI_2494	0	0	0	0
ANC_p4_1G	HAMBI_2659	7	2	0.00275807722616233	0.000788022064617809
ANC_p4_1G	HAMBI_2792	0	0	0	0
ANC_p4_1G	HAMBI_3031	0	0	0	0
ANC_p4_1G	HAMBI_3237	0	0	0	0
EVO_p6_1A	HAMBI_0006	254	68	0.164614387556708	0.0440129449838188
