AB	Pop	Species	Replicate	k	auc_e
0.267314364	ANC	1988	1	536743.3379	81.03
2000	ANC	2443	1	0.002	32599
888.8888889	ANC	2443	1	0.005487094	13.16
395.0617284	ANC	2443	1	0.0036924	21398
175.5829904	ANC	2443	1	0.004846449	11.405
78.03688462	ANC	2443	1	0.010294731	18.405
34.68305983	ANC	2443	1	0.004485088	42248
15.41469326	ANC	2443	1	0.011219435	24.335
6.850974782	ANC	2443	1	0.013719432	33.47
3.044877681	ANC	2443	1	0.007726899	18.235
1.353278969	ANC	2443	1	0.012311256	45500
0.60145732	ANC	2443	1	0.015373123	33.535
0.267314364	ANC	2443	1	0.032870984	60.13
2000	ANC	3031	1	0.002123495	25294
888.8888889	ANC	3031	1	0.005545369	45992
395.0617284	ANC	3031	1	0.004146122	33451
175.5829904	ANC	3031	1	0.005280964	13485
78.03688462	ANC	3031	1	0.011133207	25.79
34.68305983	ANC	3031	1	0.004019813	44378
15.41469326	ANC	3031	1	0	0
6.850974782	ANC	3031	1	1135828.124	46.17
3.044877681	ANC	3031	1	313252.9193	17.65
1.353278969	ANC	3031	1	1658780.015	106.725
0.60145732	ANC	3031	1	0.315149476	154.6
0.267314364	ANC	3031	1	0.484091126	141.375
1333.333333	ANC	1279	1	0.002512137	14032
592.5925926	ANC	1279	1	0.004054618	8.955
263.3744856	ANC	1279	1	0.005293294	14550
117.0553269	ANC	1279	1	0.004210924	20729
52.02458975	ANC	1279	1	0.007437268	18.51
23.12203989	ANC	1279	1	0.006445347	15.15
10.27646217	ANC	1279	1	0.024073567	32.55
4.567316521	ANC	1279	1	0.009535153	20.21
2.029918454	ANC	1279	1	0.014855492	32.375
0.90218598	ANC	1279	1	0.007737437	17.62
0.400971546	ANC	1279	1	0.424788083	443.805
0	ANC	1279	1	0.163661093	368.335
1333.333333	ANC	1842	1	0.003285701	8.435
592.5925926	ANC	1842	1	0.003016306	6.345
263.3744856	ANC	1842	1	0.004657004	10.665
117.0553269	ANC	1842	1	0.0040128	25051
52.02458975	ANC	1842	1	0.007582055	45367
23.12203989	ANC	1842	1	0.006211216	12.275
10.27646217	ANC	1842	1	0.018613112	41.675
4.567316521	ANC	1842	1	0.006397393	13.355
2.029918454	ANC	1842	1	0.00701802	16.215
0.90218598	ANC	1842	1	0.39803045	624.1
0.400971546	ANC	1842	1	0.477036205	899.195
0	ANC	1842	1	0.434564463	792.01
1333.333333	ANC	1988	1	0.008612655	9.545
592.5925926	ANC	1988	1	0.002793865	6.445
263.3744856	ANC	1988	1	0.005447146	45638
117.0553269	ANC	1988	1	0.003622449	25020
52.02458975	ANC	1988	1	0.008517569	20.675
23.12203989	ANC	1988	1	0.00672602	14.955
10.27646217	ANC	1988	1	0.012656435	27.435
4.567316521	ANC	1988	1	0.007365439	14.115
2.029918454	ANC	1988	1	0.085193596	55.495
0.90218598	ANC	1988	1	0.518461632	428.545
0.400971546	ANC	1988	1	0.416393368	370.975
0	ANC	1988	1	0.029155441	55.675
1333.333333	ANC	2443	1	0.002911938	5.935
592.5925926	ANC	2443	1	0.002997995	6.285
263.3744856	ANC	2443	1	0.005267416	25538
117.0553269	ANC	2443	1	0.002328201	5.585
